#{"t_start": 1761931394.8550858, "env_id": "CarRacing-v3"}
r,l,t
-65.014577,1000,9.280074
-53.642384,1000,24.932006
-49.333333,1000,41.24669
-57.142857,1000,59.013202
-29.824561,1000,74.347445
-21.933086,1000,90.47156
-71.153846,1000,105.78808
-39.490446,1000,122.131551
-25.795053,1000,137.411824
-76.89769,1000,152.655524
-75.0,1000,167.830689
-33.333333,1000,183.360605
25.899281,1000,198.525544
-71.326165,1000,214.471035
83.206107,1000,230.180212
106.751055,1000,245.490856
-4.166667,1000,261.004892
-138.843956,829,275.14621
-31.596091,1000,290.312338
-6.716418,1000,307.179359
-72.477064,1000,323.534177
97.368421,1000,339.412915
203.630363,1000,355.002851
-25.696594,1000,370.398707
116.129032,1000,385.739399
76.100629,1000,403.544483
432.818533,1000,419.263136
70.212766,1000,436.006173
550.735294,1000,451.171477
325.675676,1000,467.67018
443.307087,1000,483.79995
79.566563,1000,500.248816
226.460481,1000,516.317791
244.512195,1000,533.120898
417.482517,1000,548.560757
325.78125,1000,558.46746
221.428571,1000,574.673329
43.10625,484,585.930362
218.471338,1000,601.453115
249.544073,1000,617.511071
213.16726,1000,633.473206
473.37884,1000,650.063805
321.641791,1000,666.575534
730.564784,1000,682.544193
553.846154,1000,698.254433
687.878788,1000,714.051495
790.977444,1000,730.088251
185.171103,1000,746.863158
728.070175,1000,765.595054
638.095238,1000,784.159738
725.0,1000,801.777292
-39.529371,690,808.500207
702.721088,1000,824.649348
136.749117,1000,841.655283
151.552795,1000,857.839514
385.245902,1000,874.484221
470.921986,1000,890.79659
434.722222,1000,906.761128
684.126984,1000,923.038763
357.03125,1000,939.552613
588.888889,1000,955.782956
714.126394,1000,972.147837
350.35461,1000,988.505425
460.402685,1000,1005.227829
354.545455,1000,1021.367775
30.040458,838,1035.631377
231.90346,592,1041.550368
259.195402,1000,1057.455423
788.888889,1000,1074.032657
204.075235,1000,1090.680717
490.733591,1000,1107.004464
408.305648,1000,1122.701391
292.45283,1000,1140.998312
312.140575,1000,1158.727943
368.0,1000,1175.229376
400.0,1000,1192.046404
807.692308,1000,1207.640335
370.0,1000,1223.767177
434.798535,1000,1240.032109
218.965517,1000,1256.23693
601.492537,1000,1272.687516
-29.663609,1000,1288.724616
455.555556,1000,1305.680304
450.33557,1000,1321.964515
267.088608,1000,1338.007993
531.386861,1000,1354.09773
403.623188,1000,1371.767968
58.62069,1000,1388.087538
666.666667,1000,1404.631291
329.042904,1000,1420.39043
838.848921,1000,1436.271963
427.675277,1000,1452.075625
709.061489,1000,1468.935253
563.082437,1000,1484.791661
723.943662,1000,1503.273835
884.790875,1000,1519.079218
608.609272,1000,1537.186141
841.580756,1000,1554.11936
810.394265,1000,1569.800174
884.848485,1000,1585.495566
390.740741,1000,1601.702711
836.102236,1000,1617.936054
689.297659,1000,1633.691206
557.980456,1000,1650.548236
871.428571,1000,1666.871726
540.264026,1000,1676.437064
892.882562,1000,1692.699985
412.455516,1000,1708.873049
813.738019,1000,1725.204579
836.842105,1000,1741.209935
844.852941,1000,1757.416844
880.19802,1000,1772.62427
753.754941,1000,1788.76135
640.740741,1000,1805.04831
497.402597,1000,1821.151435
785.931559,1000,1836.56333
827.444795,1000,1854.651689
365.408805,1000,1872.055162
302.135231,1000,1888.362468
356.127273,667,1901.497808
238.461538,1000,1918.002301
844.237918,1000,1933.973525
889.864865,1000,1950.184553
819.463087,1000,1966.620491
631.543624,1000,1982.891675
856.25,1000,1998.586721
855.017301,1000,2015.498918
