#{"t_start": 1761931394.9178166, "env_id": "CarRacing-v3"}
r,l,t
-59.731544,1000,9.217207
-50.657895,1000,24.869227
-27.038627,1000,41.183006
-23.954373,1000,58.950471
-24.657534,1000,74.284714
-29.577465,1000,90.409137
-53.98773,1000,105.725356
-52.861953,1000,122.068849
-71.326165,1000,137.349146
-65.156794,1000,152.59295
-74.276527,1000,167.768087
-59.854015,1000,183.298079
-70.588235,1000,198.462813
-32.58427,1000,214.408106
-43.708609,1000,230.117401
138.095238,1000,245.428517
30.434783,1000,260.942231
117.228464,1000,276.589348
-36.241611,1000,291.883723
-10.958904,1000,308.948699
14.478114,1000,325.076679
357.236842,1000,340.962773
-4.458599,1000,356.617724
122.972973,1000,371.972855
67.701863,1000,387.408994
253.35689,1000,405.240943
118.844985,1000,420.860366
85.314685,1000,437.462187
100.692042,1000,452.780609
337.5,1000,469.172879
201.694915,1000,485.564598
433.333333,1000,501.599143
112.307692,1000,517.967606
5.072464,1000,534.456399
637.704918,1000,550.237105
387.719298,1000,566.636951
470.121951,1000,582.883668
651.77305,1000,598.523733
420.134228,1000,614.199815
414.388489,1000,630.656837
657.352941,1000,646.861885
741.328413,1000,663.468854
566.666667,1000,672.905553
716.254417,1000,688.874414
638.095238,1000,704.581379
848.412698,1000,720.565859
413.677812,1000,737.088508
366.049383,1000,753.805709
868.627451,1000,772.314107
506.382979,1000,790.498628
633.74613,1000,808.39834
469.078947,1000,824.550489
648.618785,1000,841.558678
836.39576,1000,857.739504
739.285714,1000,874.381527
700.0,1000,890.701904
670.609319,1000,906.665347
609.219858,1000,922.940008
453.264605,1000,939.45439
450.0,1000,955.688014
58.190592,440,966.563866
241.637011,1000,977.029382
400.0,1000,992.641683
547.727273,1000,1009.528807
313.680782,1000,1025.569717
440.540541,1000,1041.565308
670.072993,1000,1057.472904
580.297398,1000,1074.061087
510.169492,1000,1090.697567
288.888889,1000,1107.029747
423.131673,1000,1122.718471
313.194444,1000,1141.01749
516.197183,1000,1158.730215
275.464684,1000,1175.256043
418.032787,1000,1192.067563
329.078014,1000,1207.64113
797.058824,1000,1223.778056
309.836066,1000,1240.039421
498.240469,1000,1256.238408
246.534653,1000,1272.690494
424.305556,1000,1288.748469
325.396825,1000,1305.683617
606.713781,1000,1321.977744
876.653696,1000,1338.016816
304.320988,1000,1354.103331
370.790378,1000,1371.776602
248.993289,1000,1388.11364
362.365591,1000,1404.649259
611.743772,1000,1420.400953
334.931507,1000,1436.278305
356.747405,1000,1452.092665
370.588235,1000,1468.949794
256.707317,1000,1484.817447
508.540925,1000,1503.272583
622.397476,1000,1519.102088
659.450172,1000,1537.228486
527.1777,1000,1554.140404
866.542751,1000,1569.80055
869.811321,1000,1585.545412
660.932945,1000,1601.70482
919.1,809,1609.456319
316.413374,1000,1625.333137
477.181208,1000,1641.575865
561.184211,1000,1658.377385
437.888406,854,1672.95586
476.802508,1000,1689.323989
596.113074,1000,1705.36322
547.619048,1000,1721.898578
840.063091,1000,1737.816573
925.6,744,1751.772812
714.393939,1000,1767.514338
519.354839,1000,1783.153371
866.329966,1000,1799.384173
870.198675,1000,1815.575391
287.012987,1000,1831.176845
213.203367,539,1836.08881
322.995918,669,1851.289941
889.130435,1000,1868.778779
801.023891,1000,1884.72047
580.511182,1000,1901.003257
298.524188,745,1915.016084
451.083591,1000,1924.534407
561.538462,1000,1940.779719
830.0,1000,1956.57717
791.608392,1000,1973.530698
813.669065,1000,1989.318974
348.630137,1000,2005.993735
746.441948,1000,2022.161048
