#{"t_start": 1761931394.9683704, "env_id": "CarRacing-v3"}
r,l,t
-53.23741,1000,9.166621
-59.302326,1000,24.818749
-39.716312,1000,41.132485
-36.026936,1000,58.900278
-23.875433,1000,74.234344
-73.421927,1000,90.358402
-30.693069,1000,105.674896
-66.329966,1000,122.018092
-55.017301,1000,137.298535
61.616162,1000,152.54215
-73.180077,1000,167.717623
-69.811321,1000,183.247394
42.29249,1000,198.412182
215.068493,1000,214.357732
-59.627329,1000,230.067091
50.735294,1000,245.377528
83.823529,1000,260.891806
-34.256055,1000,276.538558
10.0,1000,291.83267
-5.109489,1000,308.897679
76.470588,1000,325.025998
252.024922,1000,340.912453
53.284672,1000,356.567257
114.046823,1000,371.922365
108.955224,1000,387.358065
42.857143,1000,405.19045
134.432234,1000,420.805616
79.661017,1000,437.411243
389.726027,1000,452.729974
111.072664,1000,469.12219
70.278638,1000,485.514484
3.942652,1000,501.548177
510.738255,1000,517.916778
528.571429,1000,534.406149
591.275168,1000,550.186705
523.239437,1000,566.58649
189.115646,1000,582.833261
189.56229,1000,598.473248
276.94704,1000,614.149808
41.643059,1000,630.606015
684.053156,1000,646.811519
606.293706,1000,663.41872
637.827715,1000,672.854256
244.481605,1000,688.823478
597.416974,1000,704.530652
341.281139,1000,720.515202
782.352941,1000,737.038051
286.885246,1000,753.754912
792.307692,1000,772.263717
614.285714,1000,790.448345
126.415094,1000,808.34695
268.992208,889,823.559392
753.658537,1000,840.316937
498.006645,1000,856.60114
430.24911,1000,873.039214
192.592593,1000,889.703341
315.584416,1000,905.667374
336.081787,623,918.296062
467.669173,1000,934.765382
604.980843,1000,950.858169
350.511945,1000,967.221602
843.143813,1000,984.180205
811.184211,1000,1000.149156
543.312102,1000,1016.606177
25.630719,346,1019.866266
225.963309,950,1035.176409
586.83274,1000,1051.387727
244.481605,1000,1067.549755
494.427245,1000,1084.130334
255.263158,1000,1100.742144
353.074434,1000,1117.006494
235.365854,1000,1134.998349
545.038168,1000,1153.009396
386.394558,1000,1168.887601
735.087719,1000,1185.453745
866.777409,1000,1202.254057
245.637584,1000,1217.28897
490.0,1000,1233.875077
607.070707,1000,1243.606767
859.259259,1000,1260.229788
309.42029,1000,1276.239004
389.130435,1000,1292.94277
442.056075,1000,1309.14709
382.517483,1000,1325.441799
752.090032,1000,1341.174933
390.636704,1000,1358.014191
163.843648,1000,1375.489617
759.71223,1000,1391.684298
825.531915,1000,1407.793264
580.597015,1000,1423.567181
398.245614,1000,1439.240983
396.453901,1000,1455.678887
370.0,1000,1472.238961
498.765432,1000,1488.323669
825.311203,1000,1506.497478
716.666667,1000,1522.438336
452.083333,1000,1540.65638
836.842105,1000,1557.482595
880.988593,1000,1572.961461
882.578397,1000,1588.883588
439.007092,1000,1605.054405
676.836158,1000,1621.189158
864.539007,1000,1637.024225
853.488372,1000,1653.95711
848.905109,1000,1670.080093
374.025974,1000,1686.406023
838.697318,1000,1702.654454
620.116618,1000,1719.006489
786.153846,1000,1735.144958
696.052632,1000,1751.363062
680.327869,1000,1767.110662
808.745247,1000,1782.761382
225.17417,919,1798.217261
877.358491,1000,1814.415322
751.98556,1000,1830.128968
552.307692,1000,1848.10332
728.282828,1000,1865.792136
787.755102,1000,1874.851639
926.6,734,1888.575147
663.578275,1000,1905.032158
857.746479,1000,1921.270727
589.655172,1000,1937.214717
546.687697,1000,1953.267064
404.918033,1000,1969.919668
456.776557,1000,1985.966029
834.640523,1000,2002.102744
816.666667,1000,2018.648646
