#{"t_start": 1761931394.9198353, "env_id": "CarRacing-v3"}
r,l,t
-63.746224,1000,9.215267
-49.206349,1000,24.867248
-28.838951,1000,41.180957
-26.356589,1000,58.948475
-34.328358,1000,74.282695
-60.431655,1000,90.407203
-47.368421,1000,105.723609
-74.193548,1000,122.066628
-67.532468,1000,137.346977
-76.510067,1000,152.590876
0.401606,1000,167.765954
-72.027972,1000,183.296091
-35.849057,1000,198.460799
-26.380368,1000,214.406266
-5.594406,1000,230.115459
163.888889,1000,245.426605
-16.666667,1000,260.940102
-19.54023,1000,276.587093
203.703704,1000,291.881603
24.567474,1000,308.946553
95.918367,1000,325.07441
110.702341,1000,340.960384
-26.573427,1000,356.615795
219.444444,1000,371.971009
121.343874,1000,387.406879
350.0,1000,405.239419
129.007634,1000,420.853898
206.20155,1000,437.459855
50.0,1000,452.778487
62.162162,1000,469.17094
195.719844,1000,485.562795
451.851852,1000,501.597192
139.726027,1000,517.965135
-31.638279,534,523.309614
589.655172,1000,539.320443
593.602694,1000,555.614661
364.882943,1000,571.735632
288.379205,1000,587.778176
679.92278,1000,603.165863
604.545455,1000,619.586533
626.962457,1000,635.314496
485.657371,1000,651.951154
139.817647,544,664.220833
589.138577,1000,680.218596
228.358209,1000,696.034454
122.60274,1000,711.761526
444.871795,1000,721.43662
416.233766,1000,737.941695
479.937304,1000,754.643042
466.343042,1000,773.054138
-56.654098,420,785.871164
442.586751,1000,803.422883
529.496403,1000,820.055972
491.549296,1000,836.645179
367.391304,1000,852.825469
837.5,1000,869.086329
485.964912,1000,886.422346
404.531722,1000,902.018848
671.626298,1000,918.19819
466.371681,1000,934.666247
721.292776,1000,950.766201
534.482759,1000,967.111432
820.265781,1000,984.096514
499.358974,1000,1000.074172
153.854237,615,1006.255048
326.923077,1000,1022.274738
507.272727,1000,1038.179695
236.601307,1000,1054.346282
707.936842,869,1069.297077
195.833333,1000,1085.967573
702.083333,1000,1102.610412
296.721311,1000,1118.691218
824.901186,1000,1136.772937
436.121673,1000,1154.806431
307.801418,1000,1170.638251
692.517007,1000,1187.700668
801.459854,1000,1203.875594
515.635179,1000,1218.83378
425.735294,1000,1235.604154
563.492063,1000,1251.775544
809.407666,1000,1268.531669
385.049834,1000,1284.436306
206.306306,1000,1301.289682
232.394366,1000,1317.607265
226.283988,1000,1333.638036
723.728814,1000,1349.546637
307.854985,1000,1360.076215
239.449541,1000,1377.193793
597.183099,1000,1393.556237
842.65233,1000,1409.635993
249.442379,1000,1425.363569
460.606061,1000,1440.966065
702.588997,1000,1457.655324
567.808219,1000,1473.913768
890.066225,1000,1490.182888
741.37931,1000,1508.249033
218.471338,1000,1524.102585
815.789474,1000,1542.318893
714.43299,1000,1559.07978
866.666667,1000,1574.562303
889.169675,1000,1590.509353
855.223881,1000,1606.792548
908.9,911,1622.02011
875.088968,1000,1637.897921
388.054608,1000,1654.865687
790.196078,1000,1670.899081
889.726027,1000,1687.276988
589.189189,1000,1703.462626
269.96337,1000,1719.995295
665.04298,1000,1735.961311
828.802589,1000,1752.206405
918.3,817,1766.330889
690.035587,1000,1781.878046
548.083624,1000,1798.08993
705.921053,1000,1814.288583
553.198653,1000,1830.015837
844.262295,1000,1847.974651
615.210356,1000,1857.289666
671.428571,1000,1874.728735
341.696113,1000,1891.215687
481.602374,1000,1907.626299
893.464052,1000,1923.677701
784.353741,1000,1939.879507
916.6,834,1954.002345
833.774834,1000,1970.739742
866.037736,1000,1986.762845
479.710145,1000,2003.031642
893.055556,1000,2019.505442
