#{"t_start": 1761931394.9670904, "env_id": "CarRacing-v3"}
r,l,t
-55.782313,1000,9.167835
-54.83871,1000,24.81993
-54.063604,1000,41.133622
-28.057554,1000,58.901197
-34.375,1000,74.235169
-42.857143,1000,90.359566
0.401606,1000,105.676131
-61.538462,1000,122.0194
90.47619,1000,137.299995
-61.783439,1000,152.54335
10.344828,1000,167.718688
-68.75,1000,183.24881
-21.933086,1000,198.413484
-25.170068,1000,214.358808
-43.396226,1000,230.068128
-25.531915,1000,245.378835
11.111111,1000,260.8929
-16.685915,858,275.279491
-48.979592,1000,290.470294
154.83871,1000,307.391388
80.055402,1000,323.703516
-37.694704,1000,339.550843
67.259786,1000,355.146998
99.300699,1000,370.571569
83.673469,1000,385.924274
25.0,1000,403.738603
56.716418,1000,419.413801
258.823529,1000,436.131698
84.931507,1000,451.323655
-32.659933,1000,467.823067
143.161094,1000,484.023867
302.930403,1000,500.381646
332.234432,1000,516.508243
689.115646,1000,533.242274
213.531353,1000,548.727301
319.672131,1000,565.218492
265.942029,1000,574.845503
393.103448,1000,590.644338
-3.314754,903,605.075168
711.258278,1000,621.701345
457.692308,1000,637.422701
527.45098,1000,654.152656
546.64311,1000,670.416856
320.0,1000,686.320275
497.938144,1000,702.14419
647.368421,1000,718.100559
451.612903,1000,734.48858
642.51497,1000,751.186591
523.333333,1000,769.855353
464.45993,1000,788.14952
679.605263,1000,805.93864
289.438944,1000,822.32297
363.157895,1000,839.122877
333.333333,1000,855.378858
401.628664,1000,871.760277
708.988764,1000,888.656302
460.553633,1000,904.28281
591.780822,1000,920.70436
398.327759,1000,937.178442
610.526316,1000,953.395941
546.387833,1000,969.609525
591.082803,1000,986.383247
652.57732,1000,1002.629908
477.639752,1000,1018.97758
519.52862,1000,1034.768036
458.562416,959,1050.511968
194.545455,1000,1066.764285
285.665529,1000,1083.286592
726.855124,1000,1099.965746
294.321767,1000,1116.176864
614.285714,1000,1134.129176
260.38961,1000,1152.16413
225.503356,1000,1168.114575
389.130435,1000,1178.137243
729.508197,1000,1194.601421
57.480315,1000,1209.902596
516.883117,1000,1226.40317
606.070288,1000,1242.680545
359.383754,1000,1259.205693
560.305344,1000,1275.361691
767.313916,1000,1291.975659
698.192771,1000,1308.281894
637.704918,1000,1324.587919
575.0,1000,1340.31732
803.114187,1000,1356.978716
602.702703,1000,1374.651273
412.820513,1000,1390.769403
565.454545,1000,1406.969295
540.410959,1000,1422.730672
362.046205,1000,1438.508086
614.285714,1000,1454.785384
388.448845,1000,1471.46819
756.630824,1000,1487.467204
210.769231,1000,1505.685045
160.869565,1000,1521.589984
634.482759,1000,1539.811422
800.383142,1000,1556.706165
296.666667,1000,1572.130943
848.453608,1000,1588.090018
910.9,891,1603.281535
544.230769,1000,1619.386178
889.399293,1000,1635.2872
394.208494,1000,1652.003486
896.441281,1000,1668.384998
698.679868,1000,1684.594496
828.838951,1000,1700.74713
851.388889,1000,1717.039505
589.655172,1000,1733.431191
551.515152,1000,1749.435909
553.594771,1000,1765.401308
192.834891,1000,1780.939834
892.779783,1000,1790.615055
585.430464,1000,1806.706981
840.063091,1000,1822.731968
765.248227,1000,1838.234609
882.394366,1000,1856.236476
367.680608,1000,1873.610435
572.839506,1000,1890.12113
767.313916,1000,1906.594405
406.711409,1000,1922.646067
889.323843,1000,1938.748922
427.675277,1000,1954.55048
880.0,1000,1971.513204
886.440678,1000,1987.363448
851.612903,1000,2003.770699
868.858131,1000,2020.141942
